原文件名,第一行内容,新文件名
第901集 99_人不知道的学者真相 ——.txt,99_人不知道的学者真相 ——媒体永远不会告诉你的事！ 《学林叹》 ： 媒体择贤如选秀， 网红学者满堂春。 真儒埋首青灯下， 荆玉沉沙谁问津？ 西学框架成桎梏， 东风无力百花贫。 愿借董狐千秋笔， 重开百家争鸣新。,第901集 学者真相_媒体永远不会告诉你的事.txt
第902集 99_人不知道的汉民族扩张史！.txt,99_人不知道的汉民族扩张史！结果太震撼！！！ ———————— 汉裔兴邦，耕织立本； 雄姿智勇，婚聘称尊。 商旅遗泽，基因证史； 唯物求真，科学破妄。 邻邦血胤，多承父系； 铁证如山，岂容讳言？,第902集 汉民族扩张史_结果太震撼.txt
第903集 《文化血脉觉醒指南丨父母自信值.txt,《文化血脉觉醒指南丨父母自信值决定孩子认同度—— 卞璧荆山血泪盈， 嵇琴广陵断弦惊。 孟邻三徙成圭臬， 颜巷一瓢启瞽明。 自信能传星火炽， 自卑终使铎铃声。 莫待后昆询祖脉， 方知渊鉴在躬行。,第903集 文化血脉觉醒_父母自信值决定孩子认同度.txt
第904集 《给大棒还是撒糖？》解码古典中.txt,《给大棒还是撒糖？》解码古典中国思想驯化的暴力美学！ # 昔明王执戟，万邦衔印。真理虽远，必赴华疆。 今门户洞开，礼包如山，反招轻贱； 昔铁骑裂土，金印一粒，竞效犬忠。 嗟乎！甜枣盈筐失其珍，大棒藏匣丧其威。 达达窃鼎，终成异域之号； 毛选渡海，曾是红皮照洋。 同化虽难，岂碍驯化？ 惟惧恩重成仇，德薄反尊。,第904集 大棒或撒糖_古典中国思想驯化的暴力美学.txt
第905集 《被封印的帝王相》-从斜八字脸.txt,《被封印的帝王相》-从斜八字脸看满清得位不正与小人行径#丢人 ——昔明太祖龙章凤姿，台北故宫藏其本真；清匪本长白山下狩獭之族，混同江畔饮血之氓。值明室衰微，妖氛蔽日，东胡鞑虏窃据神京，污我冠裳，乱我彝伦。 惧正统不继，乃以笔墨易其骨相。斜八字之面，非天生异象，实政治图谋。祭祀虽勤，心魔难除，遂改其容以防魂归。 观夫龙象图示，宋帝顶生双角，面缀星纹，此祥瑞之征，非丑陋之谓。然清人作画，刻意丑化，使英主.txt,第905集 被封印的帝王相_满清得位不正与小人行径.txt
第906集 「吃瓜蒙主」简易说易：3分钟略.txt,「吃瓜蒙主」简易说易：3分钟略懂周易底层逻辑 #吃瓜蒙主 #周易 #伏羲码 #知识汇编 #六十四卦 #卜筮 #科学 #数学 #八进制 #六十进制 #六十四进制 #模型 #天文 #历法 #哲学 #象 #理 #易 #术数 —— 【文枢衍易录】 河图启秘，洛书呈祥。文王演卦于羑里，周公辑爻于明堂。溯其源则星躔可考，究其理则数术昭彰。阴阳分而两仪立，刚柔迭而四象张。八卦回旋，蕴天机于六画；九畴序列，藏玄理于.txt,第906集 简易说易_3分钟略懂周易底层逻辑.txt
第907集 【古人真会玩】宋代房梁贴满“花.txt,【古人真会玩】宋代房梁贴满“花园子”？——拒绝日式极简贫困风 —— 《满庭芳·鉴伪》 朱梁画栋，花窗叠影，宋家玉砌千重。 簪花郎鬓，争艳笑春风。 谁道贫斋素壁，偷换却、古韵从容。 东瀛术，仿成半吊，浑作雅人崇。 浮华皆妄语，清时俗艳，宋世雅浓。 剩残简断章，谬种流踪。 莫信营销巧舌，空枵腹、假借遗踪。 归来矣，重拾翠钿，休使蒙尘封。,第907集 古人真会玩_宋代房梁贴满花园子.txt
第908集 【文明DNA检测报告】西方史书.txt,【文明DNA检测报告】西方史书为何经不起推敲？ #学术殖民 ++++++++++ 泥板荒唐证史难， 岁编华夏有公鼾。 胡郎跪考疑周鼎， 洋鬼偷天改汉官。 竹简春秋诛伪契， 碳灰日月照真鞍。 莫将祖典轻抛却， 血铸青铜镜未寒。,第908集 文明DNA检测报告_西方史书为何经不起推敲.txt
第909集 【汉亡真相】强盛帝国为何瞬间崩.txt,【汉亡真相】强盛帝国为何瞬间崩塌？｜经济分化如何摧毁王朝根基 ——《汉阙谣》 巍巍汉阙入云霄，铁甲曾经镇八荒。 谁知金殿基石裂，朱门酒肉掩饥肠。 五铢散尽田畴改，孝廉路上尽豪强。 黄巾非是妖术乱，实为黔首求存粮。 强兵百万终何用？民心已似秋霜凉。 今人若读兴亡史，莫只看他表面强。 #经济危机,第909集 汉亡真相_经济分化如何摧毁王朝根基.txt
第910集 丛林世界的外交语言——听懂“丛.txt,丛林世界的外交语言——听懂“丛林世界”的语言｜ 国际交往中没人告诉你的人性真相 《天命威慑赋》 观夫四夷之性，习于丛林。力强则畏，德薄何亲？ 昔者持礼让而为说，彼以怯懦而相侵。 鞭笞未至，猖狂不已；糖果偶予，俯首如禽。 故知蛮貊难通大义，伪史刀兵与黄金。 若夫谦谦君子，欲以长策谋远； 咄咄豺狼，偏执眼前以逞。 天命既在，岂容条约轻丧？ 东风所指，方使枭雄肃襟。 是故国无威慑，虽盟不固； 邦有雄略，何.txt,第910集 丛林世界的外交语言_人性真相.txt
第911集 东瀛幻影：被矮化的汉唐幻影——.txt,东瀛幻影：被矮化的汉唐幻影——别再吹 汉唐在日本 了！ 《鉴东瀛文化幻象有感》 衣冠南渡觅唐风， 矮檐窄袖失真容。 工匠竭摹形愈拙， 文明深植气方雄。 莫将赝鼎充周鼎， 且破执迷启鸿蒙。 东海烟波千载涌， 何须异域问遗踪？,第911集 东瀛幻影_被矮化的汉唐幻影.txt
第912集 从母系到父系，社会变迁背后的生.txt,从母系到父系，社会变迁背后的生育与供养秘密，谁的孩子更易存活 玄鸟生商只认巢，鲛珠泣血育灵苗。 麟趾空寻千涧鹿，璋瓦独掌九霄潮。 一脉能开星宿海，万疆终化铜山镣。 莫道父系天纲固，血亲深处锁龙桥。,第912集 母系到父系_生育与供养秘密.txt
第913集 出土文物打脸公知：中国外科早就.txt,出土文物打脸公知：中国外科早就超乎想象 岐黄渊薮，刀圭初萌。 公知妄议，圭臬蒙尘。 宋慈遗典，仵作验真。 脏腑图示，脉络可循。 金石为器，巧夺天工。 今古相照，源流自分。 华佗神术，岂效胡人？ 数典忘祖，实为不仁。 考古证史，铁骨铮铮。 愿启来者，重振医魂。,第913集 出土文物打脸公知_中国外科超乎想象.txt
第914集 别再用西方标尺量中国历史！考古.txt,别再用西方标尺量中国历史！考古挖出的真相让人沉默！ —— 禹鼎蒙尘西槊横， 强将周礼附藩旌。 岂知殷墟熔金火， 早照秦关郡县灯。 莫效鹦鹉嚼残粟， 当追班马裂缯绳。 断代自有轩辕尺， 何乞欧罗断枯荆？,第914集 别再用西方标尺量中国历史_考古真相.txt
第915集 唐诗宋词元曲明小说「清条约」，.txt,唐诗宋词元曲明小说「清条约」，晒书三日+撒盐辟邪：清条约全集 三卷遗编血泪涔，金缯割尽九州沉。 包茅不入周王贡，舆璧空输赵主琛。 纸上鲸波焚鼎祚，墨间狐媚蠹天心。 汗青若照瀛台月，犹照当年五跪深！,第915集 清条约_晒书三日加撒盐辟邪.txt
第916集 女官是干什么的？ 清为什么没有.txt,女官是干什么的？ 清为什么没有女官了？ #满清奴隶制 奴隶制管理体系下女性地位全面沦丧 皇后权力被内务府 宗人府架空， 丧失人事 惩戒 财政权 后宫妃嫔待遇等同奴婢 （通铺居住、裹毯承宠）,第916集 女官是干什么的_清为什么没有女官.txt
第917集 如果西方都是抄的，那怎么我们会.txt,如果西方都是抄的，那怎么我们会落后西方呢？ 倒退三百年！满清这波操作有多窒息？ #强盗文明 ——— 炎黄气脉贯沧溟，忍看胡尘蔽日星。 三百年抛青简堕，九重渊陷辫梢青。 狼烟乍起摹秦篆，血槽终存续汉庭。 莫效金鸡认朔漠，铜鉴犹照旧衣形。,第917集 如果西方都是抄的_为何我们会落后.txt
第918集 嫁妆是补足条款？聘礼是固定资产.txt,嫁妆是补足条款？聘礼是固定资产入股？婚姻本质是家族合伙创业！ 《聘仪叹》 裂帛纳聘礼非轻， 嫁妆补足辨浊清。 巴特女儿携资泣， 西周诸侯盟誓诚。 应随嫡娣非耽色， 俗易时移莫固争。 若解契约千载义， 何须斗粟毁鸳盟？,第918集 嫁妆与聘礼_婚姻本质是家族合伙创业.txt
第919集 定义权暗战・谁偷走了中国人的“.txt,定义权暗战・谁偷走了中国人的“话语权”？ ——《问鼎辞》 赤县曾持造化权，贡圈层叠定江山。 直尺割裂昆仑魄，诳语偷换禹甸天。 文字蒙尘十载误，版图赧面百年惭。 愚公莫叹移山苦，且看东风破铁关。,第919集 定义权暗战_谁偷走了中国人的话语权.txt
第920集 小清粉越反对，越证明汉服复兴戳.txt,小清粉越反对，越证明汉服复兴戳中了痛点！,第920集 汉服复兴_戳中小清粉痛点.txt
第921集 尘封的教科书：一段被模糊的历史.txt,尘封的教科书：一段被模糊的历史对照 —— 《蠹简诉》 昔苍颉造字而天雨粟兮 今简册蒙尘其谁睹 彼唯物之明辨若星悬兮 忽云翳之蔽而昼晦 吾既寻此故牒于蒿莱兮 揽残编而涕泗 岂魍魉攫光明于白昼兮 令青简化玄珪 余将继董孤之绝笔兮 虽九死其犹未悔 驾长车以载青史兮 恐蹇驴之难任 惟留此蠹痕为镜鉴兮 待后生之重绎,第921集 尘封的教科书_被模糊的历史.txt
第922集 弟子规、四库全书的争议你知道吗.txt,弟子规、四库全书的争议你知道吗？ 典籍如山瘴雾深，蠹虫蚀木伪珠沉。 规箴刻楮终成妄，库纂删诗实铸喑。 莫奉陈编为圭臬，且燃犀火照古今。 千秋慧命须开眼，不向故纸觅真心！ #文字狱,第922集 弟子规四库全书_争议你知道吗.txt
第923集 打破幻想!农耕与游牧地区女性地.txt,"打破幻想!农耕与游牧地区女性地位大揭秘,实力决定一切！ ———— 胡尘漫卷嗣纲常，父死子继岂人伦？ 货力为己妇功贱，班昭诫书化沙尘。 岂闻汉女桑麻乐，但见穹庐妾马频。 莫羡昭君琵琶曲，残照血凝金勒痕。",第923集 农耕与游牧_女性地位大揭秘.txt
第924集 文化话语权 与 文化定义权 4.txt,文化话语权 与 文化定义权,第924集 文化话语权与文化定义权.txt
第925集 明代女子旅行图鉴 《闺旅吟》.txt,明代女子旅行图鉴 《闺旅吟》 香幡遥指泰山阴， 姐妹分金证古今。 莫道深闺无远志， 驴车账本写云心。 史章惯掩蛾眉迹， 俗眼空销碧玉襟。 若许裙钗驰九域， 何须假道梵钟音？,第925集 明代女子旅行图鉴.txt
第926集 母系社会女性地位高？真相竟是老.txt,母系社会女性地位高？真相竟是老母亲靠儿子和兄弟获权！,第926集 母系社会女性地位_老母亲靠儿子兄弟获权.txt
第927集 汉服复兴的基本盘是什么？是作为.txt,汉服复兴的基本盘是什么？是作为文化符号和文化包装纸吗？ 弃本逐末，形存神散；华而不实，文胜质衰。 衣冠虽盛，难承道统；符号虽广，易失根基。 亲民之争，徒增淆乱；强融异质，反损纯真。 若唯饰表，终沦玩物；苟无魂骨，何以传薪？,第927集 汉服复兴的基本盘_文化符号还是包装纸.txt
第928集 沧溟遗珠·残篇｜三十里绝户令：.txt,沧溟遗珠·残篇｜三十里绝户令：清代海岸线的血色黄昏-迁界禁海 # #闭关锁国 #历史真相 ++++++++++++++ 《海殇》 沧溟其濠兮，樯橹曾骄。 厉禁如燬兮，卅里无樵。 鸥盟既绝兮，鱼书沉潮。 谁瘗商骨兮？雨林迢迢。,第928集 三十里绝户令_清代海岸线的血色黄昏.txt
第929集 清代识字率不到千分之四！ →.txt,清代识字率不到千分之四！ → 扫盲目标震惊现代人！ —————— 腥膻尽掩九州瞽，立宪空悬识字旌。 凤沼独开八旗牖，鸾台枉饰九重名。 裁衣暗伏豕笠种，裂帛空标汉衿茕。 莫道铜驼荆棘泪，寒衾夜夜哭苍生。,第929集 清代识字率_不到千分之四.txt
第930集 满清根本不是封建王朝！ 被刻意.txt,满清根本不是封建王朝！ 被刻意掩盖的300年奴隶制真相！！！ ———— 胡尘蔽日裂冠裳， 九域腥膻哭国殇。 跪殿奴才称喏日， 屠城血债比扶桑。 百年弊政非周制， 三百年间是楚亡。 莫道天朝迷旧梦， 金瓯重整认炎黄！,第930集 满清根本不是封建王朝_300年奴隶制真相.txt
第931集 满蒙联姻，嫁到草原的闺女很难活.txt,满蒙联姻，嫁到草原的闺女很难活过40岁？,第931集 满蒙联姻_嫁到草原的闺女很难活过40岁.txt
第932集 现在的我们需要怎样的文艺工作者.txt,现在的我们需要怎样的文艺工作者和文化传播者？ 吃瓜盟主打通多领域，内容友好不晦涩。,第932集 我们需要怎样的文艺工作者.txt
第933集 盛唐幻象：被刻意制造的因果倒置.txt,盛唐幻象：被刻意制造的因果倒置 ——四十年舆论战的隐蔽战场！ 因果倒悬，谬种流衍。 盛唐之论，实为楚梼。 以果为因，饰夷为夏。 学界操觚，传媒鼓簧，皆售其奸。 阶级洞照，毛选为鉴。 剖立场则狐媚现形，察利益而寇仇立判。 反清者炸毛于西史，保皇辈结契于暗室。 嗟尔众生，莫堕云瘴——当持慧刃，自破迷障！,第933集 盛唐幻象_被刻意制造的因果倒置.txt
第934集 禁播档案！改开初期百万人才为何.txt,禁播档案！改开初期百万人才为何叛逃？ 超短裙+摇滚乐如何击穿认知防线？ 糖霜裹弹裂国门，霓火焚天噬月痕。 跪临西画诋千载，舔舐钢刀诮祖根。 鲜花甜毒蚀髓骨，墨尘腥锈覆昆仑。 且淬赤心铸金甲，敢教东风镇鬼魅！,第934集 禁播档案_改开初期百万人才叛逃.txt
第935集 空气传播细菌：没有显微镜的古人.txt,空气传播细菌：没有显微镜的古人是怎么发现的？ ——《防疫箴》 瘟瘴横流，吴氏悬壶。 察气知变，隔断传途。 烟岚蔽日，实含疫毒。 微尘虽隐，早有识目。 今人持器，岂忘古训？ 鉴往知来，方得永固。,第935集 空气传播细菌_没有显微镜的古人如何发现.txt
第936集 糖衣炮弹如何击垮钢铁巨人？苏联.txt,糖衣炮弹如何击垮钢铁巨人？苏联青年为牛仔裤疯狂背叛祖国？ #意识形态斗争 #苏联解体 冷战隐秘战场揭示轻工业缺陷引爆的意识形态灾难。,第936集 糖衣炮弹如何击垮钢铁巨人_苏联解体.txt
第937集 节日起源：自然观察与历法智慧.txt,节日起源：自然观察与历法智慧,第937集 节日起源_自然观察与历法智慧.txt
第938集 血统纯净度排行榜 这个民族父系.txt,血统纯净度排行榜 这个民族父系基因纯到离谱 #人类学 #科普,第938集 血统纯净度排行榜_父系基因纯到离谱.txt
第939集 血缘与边陲：春秋战国的亲疏政治.txt,血缘与边陲：春秋战国的亲疏政治｜爱有等差・华夷之辨 《鉴春秋亲疏论》 漆器辉煌楚水滨， 周礼严整锢星辰。 宋人守祀成谈柄， 秦伯开疆换甲纶。 胡马踏破亲疏界， 华夏重铸鼎鼐新。 莫道边陲无俊彦， 尽收九域始为春。,第939集 血缘与边陲_春秋战国的亲疏政治.txt
第940集 袁崇焕 VS 魏忠贤 VS 雍.txt,袁崇焕 VS 魏忠贤 VS 雍正，孰忠孰佞尔能明辨否？ 袁崇焕英雄人设崩塌！私杀战友·资敌粮草·引兵城下——清帝吹捧的“忠臣”三大罪证全解析,第940集 袁崇焕魏忠贤雍正_孰忠孰佞.txt
第941集 被烂菜叶子砸千年的奸雄，到底冤.txt,被烂菜叶子砸千年的奸雄，到底冤不冤？,第941集 被烂菜叶子砸千年的奸雄_到底冤不冤.txt
第942集 西方道德为何总在极端间摇摆？答.txt,西方道德为何总在极端间摇摆？答案在羔羊哲学里！神权驯化！ ++++++++++++ 《世风吟》 凤鸟不至河图隐兮，礼崩乐坏久沉吟。 西来浊浪湮古道兮，羔羊棋局乱人伦。 昔有亲亲相隐义兮，今见骨肉若飘萍。 清弦绝响朱弦断兮，谁闻寡鹄泣荒荆？ 神权枷锁铸奇邪兮，兽放山林号自由。 华夏衣冠沦野马兮，忍看日月蔽浮沤！,第942集 西方道德为何总在极端间摇摆_羔羊哲学.txt
第943集 触目惊心！欧洲假发竟是没毒患者.txt,触目惊心！欧洲假发竟是没毒患者的遮羞布！！ #梅毒是什么 #历史真相 《羊毛卷辞》 羊毛卷卷，蔽彼疮痍。 非秃非老，毒蚀其肌。 华服俨俨，莫掩其疵。 昔之矜贵，今为世嗤。,第943集 触目惊心_欧洲假发竟是梅毒患者遮羞布.txt
第944集 读书人不可全信· 宋代开始的史.txt,读书人不可全信· 宋代开始的史书潜规则 #文人软骨病 起义 —— 《史讹》 青简皴皴 墨痕斜斜 宋室既迁 史笔参商 昔有世家 圭璧守疆 今多文吏 曲笔求凰 火器雷震 实不过岗 明主蒙尘 暗夜无光 谁解蠹简 重重伪装 但取冰心 照破苍黄,第944集 读书人不可全信_宋代开始的史书潜规则.txt
第945集 谁在阻止中国制定预制菜标准？.txt,谁在阻止中国制定预制菜标准？ ｜洋爹党双标现场，看完血压飙升 —— 「食鉴世变 」 工业兴邦，膳馔渐荒。 圈地驱民，饲肴始倡。 骨烹三沸，奸贾猖狂。 西人百年，岂曰无殇？ 冷餐代爨〔cuàn〕，母味难尝。 快节奏下，何择膏粱？ 双标横议，其心可详。 严规立本，方辟新章。,第945集 谁在阻止中国制定预制菜标准_洋爹党双标.txt
第946集 辩证观史：破除机械唯物之蔽！.txt,辩证观史：破除机械唯物之蔽！ 机械史观刃如霜，割裂古今妄评章。 秦王郡县开新制，岂与酋长同秤量？ 时代洪流分进退，辩证明镜照玄黄。 莫教教条囚慧眼，青史从来非戏场。,第946集 辩证观史_破除机械唯物之蔽.txt
第947集 郡县制两千年困局，为何皇权不下.txt,郡县制两千年困局，为何皇权不下县？ 基层失控即王朝覆灭信号？,第947集 郡县制两千年困局_为何皇权不下县.txt
第948集 青蝇吊客言泉涸，玄蝥封唇舌狱凉.txt,青蝇吊客言泉涸，玄蝥封唇舌狱凉。,第948集 青蝇吊客言泉涸_玄蝥封唇舌狱凉.txt
第949集 鞭尸清朝的正当理由——从叛徒到.txt,鞭尸清朝的正当理由——从叛徒到反动的全面解剖｜【文不对题】： “子系中山狼，得志便猖狂！” 东郭活汝命，汝欲食其躯。恩将仇报，莫此为甚！ 豺狼之性，固难移易；负恩反噬，尤属天良丧尽！ 彼乞怜囊中时，岂知仁义？彼逞凶道左际，唯见贪婪！ 如此恶畜，人人得而诛之！复何言哉！,第949集 鞭尸清朝的正当理由_从叛徒到反动的全面解剖.txt
第950集 顺治帝死于炮轰还是天花？——背.txt,顺治帝死于炮轰还是天花？——背后的萨满为什么要跳大神！ 蜀中苗裔焙痂早， 塞外巫鼓误龙鳞。 庠序星火燎九域， 萨满尘烟葬孤宸。 岐黄道绝山河泪， 文明薪传疠鬼逡。 顺治岂是空门客？ 千秋殷鉴警来人。,第950集 顺治帝死于炮轰还是天花_萨满跳大神揭秘.txt